nome_pane,fase,macchina,tempo_min_per_batch,costo_orario_macchina
Pane per toast spessore sottile,Impasto,Impastatrice1,23,30
Pane per toast spessore sottile,Lievitazione,Cella1,43,10
Pane per toast spessore sottile,Cottura,Forno1,17,50
Pane per toast spessore sottile,Confezione,Confezionatrice1,27,25
Pane per toast spessore alto,Impasto,Impastatrice1,26,30
Pane per toast spessore alto,Lievitazione,Cella1,46,10
Pane per toast spessore alto,Cottura,Forno1,19,50
Pane per toast spessore alto,Confezione,Confezionatrice1,28,25
Pane morbido senza crosta,Impasto,Impastatrice1,19,30
Pane morbido senza crosta,Lievitazione,Cella1,39,10
Pane morbido senza crosta,Cottura,Forno1,15,50
Pane morbido senza crosta,Confezione,Confezionatrice1,24,25
Pane sandwich proteico,Impasto,Impastatrice1,20,30
Pane sandwich proteico,Lievitazione,Cella1,40,10
Pane sandwich proteico,Cottura,Forno1,16,50
Pane sandwich proteico,Confezione,Confezionatrice1,25,25
Pane sandwich a lievito madre,Impasto,Impastatrice1,22,30
Pane sandwich a lievito madre,Lievitazione,Cella1,42,10
Pane sandwich a lievito madre,Cottura,Forno1,17,50
Pane sandwich a lievito madre,Confezione,Confezionatrice1,26,25
Panino all’olio,Impasto,Impastatrice1,20,30
Panino all’olio,Lievitazione,Cella1,40,10
Panino all’olio,Cottura,Forno1,15,50
Panino all’olio,Confezione,Confezionatrice1,25,25
Panino morbido al latte,Impasto,Impastatrice1,22,30
Panino morbido al latte,Lievitazione,Cella1,42,10
Panino morbido al latte,Cottura,Forno1,16,50
Panino morbido al latte,Confezione,Confezionatrice1,26,25
Panino rustico ai cereali,Impasto,Impastatrice1,25,30
Panino rustico ai cereali,Lievitazione,Cella1,45,10
Panino rustico ai cereali,Cottura,Forno1,18,50
Panino rustico ai cereali,Confezione,Confezionatrice1,27,25
Panino tipo rosetta,Impasto,Impastatrice1,18,30
Panino tipo rosetta,Lievitazione,Cella1,38,10
Panino tipo rosetta,Cottura,Forno1,14,50
Panino tipo rosetta,Confezione,Confezionatrice1,24,25
Panino ciabattina sandwich,Impasto,Impastatrice1,21,30
Panino ciabattina sandwich,Lievitazione,Cella1,41,10
Panino ciabattina sandwich,Cottura,Forno1,16,50
Panino ciabattina sandwich,Confezione,Confezionatrice1,26,25
Panino per hot dog,Impasto,Impastatrice1,23,30
Panino per hot dog,Lievitazione,Cella1,43,10
Panino per hot dog,Cottura,Forno1,17,50
Panino per hot dog,Confezione,Confezionatrice1,27,25
Bun per burger classico,Impasto,Impastatrice1,26,30
Bun per burger classico,Lievitazione,Cella1,46,10
Bun per burger classico,Cottura,Forno1,19,50
Bun per burger classico,Confezione,Confezionatrice1,28,25
Bun per burger ai semi,Impasto,Impastatrice1,19,30
Bun per burger ai semi,Lievitazione,Cella1,39,10
Bun per burger ai semi,Cottura,Forno1,15,50
Bun per burger ai semi,Confezione,Confezionatrice1,24,25
Bun per burger integrale,Impasto,Impastatrice1,20,30
Bun per burger integrale,Lievitazione,Cella1,40,10
Bun per burger integrale,Cottura,Forno1,16,50
Bun per burger integrale,Confezione,Confezionatrice1,25,25
Mini bun per slider,Impasto,Impastatrice1,22,30
Mini bun per slider,Lievitazione,Cella1,42,10
Mini bun per slider,Cottura,Forno1,17,50
Mini bun per slider,Confezione,Confezionatrice1,26,25
Panino arabo,Impasto,Impastatrice1,20,30
Panino arabo,Lievitazione,Cella1,40,10
Panino arabo,Cottura,Forno1,15,50
Panino arabo,Confezione,Confezionatrice1,25,25
Piadina classica,Impasto,Impastatrice1,22,30
Piadina classica,Lievitazione,Cella1,42,10
Piadina classica,Cottura,Forno1,16,50
Piadina classica,Confezione,Confezionatrice1,26,25
Piadina integrale,Impasto,Impastatrice1,25,30
Piadina integrale,Lievitazione,Cella1,45,10
Piadina integrale,Cottura,Forno1,18,50
Piadina integrale,Confezione,Confezionatrice1,27,25
Piadina ai cereali,Impasto,Impastatrice1,18,30
Piadina ai cereali,Lievitazione,Cella1,38,10
Piadina ai cereali,Cottura,Forno1,14,50
Piadina ai cereali,Confezione,Confezionatrice1,24,25
Focaccina morbida,Impasto,Impastatrice1,21,30
Focaccina morbida,Lievitazione,Cella1,41,10
Focaccina morbida,Cottura,Forno1,16,50
Focaccina morbida,Confezione,Confezionatrice1,26,25
Panino tipo baguettina,Impasto,Impastatrice1,23,30
Panino tipo baguettina,Lievitazione,Cella1,43,10
Panino tipo baguettina,Cottura,Forno1,17,50
Panino tipo baguettina,Confezione,Confezionatrice1,27,25
Panino soffice per merenda,Impasto,Impastatrice1,26,30
Panino soffice per merenda,Lievitazione,Cella1,46,10
Panino soffice per merenda,Cottura,Forno1,19,50
Panino soffice per merenda,Confezione,Confezionatrice1,28,25
Brioche salata ripiena,Impasto,Impastatrice1,19,30
Brioche salata ripiena,Lievitazione,Cella1,39,10
Brioche salata ripiena,Cottura,Forno1,15,50
Brioche salata ripiena,Confezione,Confezionatrice1,24,25
Panino alla zucca,Impasto,Impastatrice1,20,30
Panino alla zucca,Lievitazione,Cella1,40,10
Panino alla zucca,Cottura,Forno1,16,50
Panino alla zucca,Confezione,Confezionatrice1,25,25
Panino al carbone vegetale,Impasto,Impastatrice1,22,30
Panino al carbone vegetale,Lievitazione,Cella1,42,10
Panino al carbone vegetale,Cottura,Forno1,17,50
Panino al carbone vegetale,Confezione,Confezionatrice1,26,25
Grissini classici,Impasto,Impastatrice1,20,30
Grissini classici,Lievitazione,Cella1,40,10
Grissini classici,Cottura,Forno1,15,50
Grissini classici,Confezione,Confezionatrice1,25,25
Grissini torinesi sottili,Impasto,Impastatrice1,22,30
Grissini torinesi sottili,Lievitazione,Cella1,42,10
Grissini torinesi sottili,Cottura,Forno1,16,50
Grissini torinesi sottili,Confezione,Confezionatrice1,26,25
Grissini al sesamo,Impasto,Impastatrice1,25,30
Grissini al sesamo,Lievitazione,Cella1,45,10
Grissini al sesamo,Cottura,Forno1,18,50
Grissini al sesamo,Confezione,Confezionatrice1,27,25
Grissini al rosmarino,Impasto,Impastatrice1,18,30
Grissini al rosmarino,Lievitazione,Cella1,38,10
Grissini al rosmarino,Cottura,Forno1,14,50
Grissini al rosmarino,Confezione,Confezionatrice1,24,25
Grissini integrali,Impasto,Impastatrice1,21,30
Grissini integrali,Lievitazione,Cella1,41,10
Grissini integrali,Cottura,Forno1,16,50
Grissini integrali,Confezione,Confezionatrice1,26,25
Grissini ai cereali,Impasto,Impastatrice1,23,30
Grissini ai cereali,Lievitazione,Cella1,43,10
Grissini ai cereali,Cottura,Forno1,17,50
Grissini ai cereali,Confezione,Confezionatrice1,27,25
Grissini stirati a mano,Impasto,Impastatrice1,26,30
Grissini stirati a mano,Lievitazione,Cella1,46,10
Grissini stirati a mano,Cottura,Forno1,19,50
Grissini stirati a mano,Confezione,Confezionatrice1,28,25
Grissini alla cipolla,Impasto,Impastatrice1,19,30
Grissini alla cipolla,Lievitazione,Cella1,39,10
Grissini alla cipolla,Cottura,Forno1,15,50
Grissini alla cipolla,Confezione,Confezionatrice1,24,25
Grissini all’olio extravergine,Impasto,Impastatrice1,20,30
Grissini all’olio extravergine,Lievitazione,Cella1,40,10
Grissini all’olio extravergine,Cottura,Forno1,16,50
Grissini all’olio extravergine,Confezione,Confezionatrice1,25,25
Grissini sfogliati,Impasto,Impastatrice1,22,30
Grissini sfogliati,Lievitazione,Cella1,42,10
Grissini sfogliati,Cottura,Forno1,17,50
Grissini sfogliati,Confezione,Confezionatrice1,26,25
Crostini dorati,Impasto,Impastatrice1,20,30
Crostini dorati,Lievitazione,Cella1,40,10
Crostini dorati,Cottura,Forno1,15,50
Crostini dorati,Confezione,Confezionatrice1,25,25
Crostini all’aglio,Impasto,Impastatrice1,22,30
Crostini all’aglio,Lievitazione,Cella1,42,10
Crostini all’aglio,Cottura,Forno1,16,50
Crostini all’aglio,Confezione,Confezionatrice1,26,25
Crostini all’origano,Impasto,Impastatrice1,25,30
Crostini all’origano,Lievitazione,Cella1,45,10
Crostini all’origano,Cottura,Forno1,18,50
Crostini all’origano,Confezione,Confezionatrice1,27,25
Crostini ai cereali,Impasto,Impastatrice1,18,30
Crostini ai cereali,Lievitazione,Cella1,38,10
Crostini ai cereali,Cottura,Forno1,14,50
Crostini ai cereali,Confezione,Confezionatrice1,24,25
Crostini per zuppe,Impasto,Impastatrice1,21,30
Crostini per zuppe,Lievitazione,Cella1,41,10
Crostini per zuppe,Cottura,Forno1,16,50
Crostini per zuppe,Confezione,Confezionatrice1,26,25
Cracker salati classici,Impasto,Impastatrice1,23,30
Cracker salati classici,Lievitazione,Cella1,43,10
Cracker salati classici,Cottura,Forno1,17,50
Cracker salati classici,Confezione,Confezionatrice1,27,25
Cracker integrali,Impasto,Impastatrice1,26,30
Cracker integrali,Lievitazione,Cella1,46,10
Cracker integrali,Cottura,Forno1,19,50
Cracker integrali,Confezione,Confezionatrice1,28,25
Cracker ai semi,Impasto,Impastatrice1,19,30
Cracker ai semi,Lievitazione,Cella1,39,10
Cracker ai semi,Cottura,Forno1,15,50
Cracker ai semi,Confezione,Confezionatrice1,24,25
Cracker senza lievito,Impasto,Impastatrice1,20,30
Cracker senza lievito,Lievitazione,Cella1,40,10
Cracker senza lievito,Cottura,Forno1,16,50
Cracker senza lievito,Confezione,Confezionatrice1,25,25
Cracker al rosmarino,Impasto,Impastatrice1,22,30
Cracker al rosmarino,Lievitazione,Cella1,42,10
Cracker al rosmarino,Cottura,Forno1,17,50
Cracker al rosmarino,Confezione,Confezionatrice1,26,25
Cracker al mais,Impasto,Impastatrice1,20,30
Cracker al mais,Lievitazione,Cella1,40,10
Cracker al mais,Cottura,Forno1,15,50
Cracker al mais,Confezione,Confezionatrice1,25,25
Snack croccante ai cereali,Impasto,Impastatrice1,22,30
Snack croccante ai cereali,Lievitazione,Cella1,42,10
Snack croccante ai cereali,Cottura,Forno1,16,50
Snack croccante ai cereali,Confezione,Confezionatrice1,26,25
Quadretti di pane tostato,Impasto,Impastatrice1,25,30
Quadretti di pane tostato,Lievitazione,Cella1,45,10
Quadretti di pane tostato,Cottura,Forno1,18,50
Quadretti di pane tostato,Confezione,Confezionatrice1,27,25
Sfoglie croccanti al sale,Impasto,Impastatrice1,18,30
Sfoglie croccanti al sale,Lievitazione,Cella1,38,10
Sfoglie croccanti al sale,Cottura,Forno1,14,50
Sfoglie croccanti al sale,Confezione,Confezionatrice1,24,25
Sfoglie croccanti alle erbe,Impasto,Impastatrice1,21,30
Sfoglie croccanti alle erbe,Lievitazione,Cella1,41,10
Sfoglie croccanti alle erbe,Cottura,Forno1,16,50
Sfoglie croccanti alle erbe,Confezione,Confezionatrice1,26,25
Mini cracker per aperitivo,Impasto,Impastatrice1,23,30
Mini cracker per aperitivo,Lievitazione,Cella1,43,10
Mini cracker per aperitivo,Cottura,Forno1,17,50
Mini cracker per aperitivo,Confezione,Confezionatrice1,27,25
Snack tipo bruschetta,Impasto,Impastatrice1,26,30
Snack tipo bruschetta,Lievitazione,Cella1,46,10
Snack tipo bruschetta,Cottura,Forno1,19,50
Snack tipo bruschetta,Confezione,Confezionatrice1,28,25
Bruschettine all’olio d’oliva,Impasto,Impastatrice1,19,30
Bruschettine all’olio d’oliva,Lievitazione,Cella1,39,10
Bruschettine all’olio d’oliva,Cottura,Forno1,15,50
Bruschettine all’olio d’oliva,Confezione,Confezionatrice1,24,25
Bruschettine ai pomodorini,Impasto,Impastatrice1,20,30
Bruschettine ai pomodorini,Lievitazione,Cella1,40,10
Bruschettine ai pomodorini,Cottura,Forno1,16,50
Bruschettine ai pomodorini,Confezione,Confezionatrice1,25,25
Bruschettine mediterranee,Impasto,Impastatrice1,22,30
Bruschettine mediterranee,Lievitazione,Cella1,42,10
Bruschettine mediterranee,Cottura,Forno1,17,50
Bruschettine mediterranee,Confezione,Confezionatrice1,26,25
